stage,blocking,aoi,aoi_suivant,n,gap_moyen,gap_median,gap_ecart_type
AOI2,AOI2_A17,A17 Paper Pad,A17 Glass Tip,34,0.43965297058823816,0.2001989999999978,0.6592674798245056
AOI2,AOI2_A17,A17 Glass Tip,A17 Paper Pad,34,0.6634050294117662,0.11678249999999935,0.9206866939544108
AOI2,AOI2_A17,A17 Paper Pad,A17 Bucket,1,0.33366500000005317,0.33366500000005317,
AOI2,AOI2_A17,A17 Bucket,A17 Paper Pad,1,0.6005979999999909,0.6005979999999909,
AOI2,AOI2_A23,A23 Glass Center,A23 Glass Tip,9,0.2928836666666636,0.2001989999999978,0.3289513505303592
AOI2,AOI2_A23,A23 Glass Tip,A23 Glass Center,7,0.20973200000000652,0.10009900000000016,0.24947962163072016
AOI2,AOI2_A23,A23 Glass Tip,A23 Paper Pad,7,0.38609814285715466,0.13346599999999853,0.4467698858635034
AOI2,AOI2_A23,A23 Paper Pad,A23 Glass Tip,5,0.03336659999999938,0.03336699999999837,0.03336650000074889
AOI2,AOI2_A23,A23 Paper Pad,A23 Glass Center,2,0.8842129999999884,0.8842129999999884,1.0617165893108997
AOI2,AOI2_A31,A31 Jacks,A31 Glass Center,24,0.24190712500000208,0.06673200000000179,0.3121154370157035
AOI2,AOI2_A31,A31 Glass Center,A31 Jacks,22,0.12436586363636272,0.033366000000000895,0.24262409964216144
AOI2,AOI2_A31,A31 Glass Center,A31 Glass Tip,15,0.5761286000000079,0.033366000000000895,1.2274214630845965
AOI2,AOI2_A31,A31 Glass Tip,A31 Glass Center,12,0.17239358333333143,0.1000994999999989,0.1955100343472067
AOI2,AOI2_A31,A31 Glass Tip,A31 Jacks,11,0.22143209090909916,0.06673200000000179,0.32393823522685483
AOI2,AOI2_A31,A31 Jacks,A31 Glass Tip,9,0.04078111111111108,0.033366000000000895,0.054770344358156434
AOI2,AOI2_A31,A31 Paper Pad,A31 Glass Center,5,0.43376479999999445,0.16683199999999943,0.5076762911843452
AOI2,AOI2_A31,A31 Glass Center,A31 Paper Pad,4,0.15014899999999898,0.11678249999999935,0.14544146925137733
AOI2,AOI2_A31,A31 Glass Tip,A31 Paper Pad,3,0.2001986666666653,0.06673200000000179,0.2606014000141421
AOI2,AOI2_A31,A31 Paper Pad,A31 Glass Tip,3,0.4226430000000316,0.23356599999999617,0.542484366492769
AOI2,AOI2_A35,A35 Glass Tip,A35 Glass Center,24,0.2613710000000111,0.13346500000000106,0.39512493258825765
AOI2,AOI2_A35,A35 Glass Center,A35 Glass Tip,22,0.14711581818181685,0.05004900000000134,0.27814833926943405
AOI2,AOI2_A35,A35 Glass Center,A35 Jacks,12,0.04448841666666681,0.0,0.06723647197285133
AOI2,AOI2_A35,A35 Jacks,A35 Glass Center,10,0.09008939999999939,0.033366000000000895,0.18211205970024497
AOI2,AOI2_A35,A35 Paper Pad,A35 Glass Center,6,0.30029866666668187,0.1835154999999986,0.4070169906398222
AOI2,AOI2_A35,A35 Jacks,A35 Glass Tip,5,0.06005959999999959,0.0,0.13429734830144544
AOI2,AOI2_A35,A35 Glass Center,A35 Paper Pad,5,0.23356579999999666,0.30029899999999543,0.22506960688906574
AOI2,AOI2_A35,A35 Glass Tip,A35 Paper Pad,5,0.6072705999999926,0.2335649999999987,0.620384916052758
AOI2,AOI2_A35,A35 Paper Pad,A35 Glass Tip,4,0.5588889999999935,0.3336644999999976,0.6373946066140297
AOI2,AOI2_A35,A35 Glass Tip,A35 Jacks,3,0.08897733333333235,0.06673299999999927,0.10193634128382824
AOI2,AOI2_A35,A35 Paper Pad,A35 Bucket,1,0.2001989999999978,0.2001989999999978,
AOI2,AOI2_A35,A35 Bucket,A35 Glass Tip,1,0.5672309999999925,0.5672309999999925,
AOI2,AOI2_A43,A43 Glass Center,A43 Glass Edge Left,11,0.17896563636363474,0.033366000000000895,0.29175134229760136
AOI2,AOI2_A43,A43 Glass Edge Left,A43 Glass Center,10,0.18685230000000957,0.11678249999999935,0.23916540324454433
AOI2,AOI2_A43,A43 Glass Edge Left,A43 Glass Tip,9,0.2854693333333292,0.03336699999999837,0.44488706562508057
AOI2,AOI2_A43,A43 Glass Tip,A43 Glass Edge Left,7,0.2335649999999987,0.13346500000000106,0.3588519009057401
AOI2,AOI2_A43,A43 Glass Tip,A43 Paper Pad,7,0.26693228571428207,0.0,0.6209524408354963
AOI2,AOI2_A43,A43 Paper Pad,A43 Glass Tip,6,0.2224428333333511,0.2335649999999987,0.14872129415577892
AOI2,AOI2_A43,A43 Glass Tip,A43 Glass Center,5,0.21354539999999816,0.16683199999999943,0.1866736725580207
AOI2,AOI2_A43,A43 Glass Center,A43 Glass Tip,4,0.02502475000000004,0.0,0.05004950000000008
